Country	Date	Population	Cases	Deaths	Cases_Per_Million	Deaths_Per_Million
Austria	2021-05-22	8902600	640876	10541	72439	1191
Belgium	2021-05-22	11515793	1047128	24823	91675	2173
Canada	2021-05-22	37894799	1363519	25180	36793	679
Czechia	2021-05-22	10649800	1657558	30012	155995	2824
Denmark	2021-05-22	5822763	273366	2508	47152	432
Finland	2021-05-22	5521158	91405	932	16564	168
France	2021-05-22	67022000	5979597	108345	89264	1617
Germany	2021-05-22	83149300	3653019	87385	44050	1053
Greece	2021-05-22	10768477	388929	11734	36254	1093
Hungary	2021-05-22	9772756	801672	29475	82064	3017
Iran	2021-05-22	83183741	2823887	78381	34521	958
Italy	2021-05-22	60317546	4188190	125153	69304	2070
Japan	2021-05-22	126150000	715880	12203	5657	96
Netherlands	2021-05-22	17424978	1649960	17810	95755	1033
Portugal	2021-05-22	10276617	844811	17017	82165	1655
South Korea	2021-05-22	51709098	135929	1931	2632	37
Spain	2021-05-22	46733038	3636453	79620	77828	1704
Sweden	2021-05-22	10333456	1058341	14366	103930	1410
Switzerland	2021-05-22	8570146	687353	10775	80707	1265
Turkey	2021-05-22	83154997	5178648	46071	62908	559
United Kingdom	2021-05-22	67545757	4476297	127978	67323	1924
United States	2021-05-22	328239523	33104884	589703	101186	1802
